,0,1
1391,1200,160
1392,1300,717
1393,1800,1107
1394,1800,337
1395,1000,767
1396,500,863
1397,1500,124
1398,2700,307
1399,2000,1080
1400,1500,370
1401,700,289
1402,700,697
1403,1400,984
1404,1000,1086
1405,1100,551
1406,2500,979
1407,1500,476
1408,2100,518
1409,500,1110
1410,2600,982
1411,1300,1079
1412,1700,742
1413,1400,290
1414,1000,504
1415,1000,473
1416,2300,949
1417,1400,163
1418,1200,890
1419,1200,150
1420,500,984
1421,700,1043
1422,800,402
1423,3000,704
1424,1000,149
1425,3000,507
1426,1900,809
1427,1000,948
1428,200,651
1429,1300,401
1430,1200,290
1431,500,646
1432,3300,1075
1433,1500,401
1434,2500,719
1435,1000,867
1436,500,699
1437,1300,983
1438,3000,518
1439,300,1086
1440,700,766
1441,1900,1110
1442,1000,506
1443,2500,717
1444,800,652
1445,1000,371
1446,500,472
1447,1000,772
1448,2200,918
1449,600,578
1450,1700,1086
1451,2000,948
1452,2600,650
1453,1300,719
1454,2500,1083
1455,1300,742
1456,500,405
1457,1400,551
1458,800,11
1459,1700,160
1460,1000,1073
1461,2600,336
1462,2900,1075
1463,900,808
1464,1300,1108
1465,1800,337
1466,1000,214
1467,1500,741
1468,500,73
1469,1200,1080
1470,2000,1086
1471,500,520
1472,1500,948
1473,2400,299
1474,2000,808
1475,3300,1111
1476,1000,333
1477,1500,719
1478,1200,704
1479,1500,1037
1480,1000,505
1481,1600,915
1482,3100,921
1483,1200,767
1484,2000,1108
1485,900,948
1486,600,1084
1487,600,76
1488,1400,743
1489,1900,580
1490,1200,575
1491,1700,702
1492,1600,698
1493,1700,504
1494,1000,215
1495,1000,552
1496,600,554
1497,500,400
1498,1700,699
1499,600,123
1500,1500,401
1501,300,1109
1502,1800,890
1503,1600,1109
1504,3300,772
1505,2200,740
1506,1000,146
1507,500,1037
1508,1200,215
1509,1200,335
1510,1000,341
1511,1700,76
1512,1500,1110
1513,500,741
1514,2000,808
1515,2000,1044
1516,600,948
1517,1600,1041
1518,500,948
1519,1900,582
1520,600,681
1521,3000,215
1522,1500,1078
1523,800,699
1524,2000,717
1525,400,1110
1526,1400,370
1527,700,456
1528,1000,1050
1529,1000,1043
1530,2400,867
1531,800,742
1532,1200,767
1533,1100,949
1534,3200,336
1535,600,1085
1536,600,767
1537,1300,401
1538,700,1037
1539,1700,438
1540,2000,553
1541,1200,470
1542,2000,1043
1543,1500,57
1544,3500,1077
1545,2500,553
1546,2200,1037
1547,1100,373
1548,800,861
1549,1300,373
1550,2000,984
1551,1300,717
1552,1000,554
1553,800,136
1554,2800,203
1555,1400,701
1556,2000,520
1557,2000,1107
1558,1800,214
1559,1300,521
1560,1300,1040
1561,2000,1108
1562,1200,868
1563,1700,506
1564,1400,651
1565,1200,1077
1566,1700,867
1567,800,742
1568,3700,949
1569,1200,505
1570,2500,744
1571,3600,1104
1572,200,160
1573,2000,520
1574,2500,576
1575,2200,807
1576,800,143
1577,1500,717
1578,2400,1079
1579,2500,1080
1580,2300,718
1581,1000,215
1582,1000,367
1583,2100,189
1584,1200,771
1585,1500,702
1586,1100,476
1587,2000,1107
1588,2000,1106
1589,1500,745
1590,1800,475
1591,700,809
1592,1500,949
1593,1200,809
1594,600,504
1595,1500,300
1596,1300,773
1597,600,742
1598,2000,1080
1599,2100,579
1600,1000,506
1601,1000,719
1602,1000,404
1603,2400,889
1604,1000,520
1605,1000,160
1606,1000,521
1607,1700,698
1608,1000,365
1609,1700,400
1610,2000,520
1611,1500,374
1612,800,404
1613,2500,337
1614,3800,553
1615,1100,125
1616,700,12
1617,1200,1037
1618,1300,440
1619,1300,504
1620,1500,717
1621,1700,1041
1622,800,370
1623,1200,808
1624,1300,299
1625,300,702
