,Parent,Child,Day,TimeSpan,DistanceMeter,In5Mins
9485,동작,노량진,2,22,1200,1
9486,서초,서초,2,23,2300,1
9487,관악,관악,3,4,1200,1
9488,강남,영동,3,5,900,1
9489,강남,역삼,3,7,1400,1
9490,영등포,당산,3,8,1600,1
9491,서초,잠원,3,10,3000,1
9492,종로,숭인,3,13,2500,0
9493,성동,성수,3,15,1100,1
9494,마포,신수,3,16,1000,1
9495,서초,서초,3,19,3000,1
9496,강서,발산,3,20,1900,1
9497,구로,고일,3,20,3000,0
9498,종로,신영,3,20,1400,0
9499,광진,구의,3,21,1200,1
9500,강서,방화,3,22,3000,1
9501,광진,구의,3,23,1800,1
9502,종로,세종로,4,3,300,1
9503,광진,중곡,4,4,1100,1
9504,영등포,신길,4,9,1300,1
9505,종로,연건,4,11,1200,1
9506,중부,회현,4,11,2000,1
9507,구로,수궁,4,11,2700,0
9508,성북,종암,4,11,900,1
9509,도봉,쌍문,4,12,1500,1
9510,양천,양천,4,14,1500,1
9511,서대문,홍은,4,14,300,1
9512,종로,연건,4,15,900,1
9513,서대문,미근,4,16,500,1
9514,도봉,쌍문,4,16,1800,1
9515,용산,서빙고,4,16,1100,1
9516,송파,가락,4,20,3000,1
9517,강북,번동,4,21,1100,1
9518,용산,후암,4,22,1000,1
9519,송파,운동장,4,22,2500,1
9520,영등포,여의도,5,1,3300,1
9521,강남,삼성,5,5,1400,1
9522,강남,역삼,5,10,1400,1
9523,강남,역삼,5,14,2200,1
9524,동대문,휘경,5,15,1900,1
9525,마포,신수,5,17,1200,1
